encounter_id,gold_word,whisper_word,confidence,error_type,is_error,tier,error_category
D2N001,hi,And,0.2524050176143646,substitution,1,1.0,unrelated_substitution
D2N001,martha,"Martha,",0.9860159754753112,correct,0,1.0,correct
D2N001,how,how,0.9784384965896606,correct,0,1.0,correct
D2N001,are,are,0.9942269325256348,correct,0,1.0,correct
D2N001,you,you?,0.9921302199363708,correct,0,1.0,correct
D2N001,i'm,And,0.2168275862932205,substitution,1,1.0,unrelated_substitution
D2N001,doing,doing,0.4311870634555816,correct,0,1.0,correct
D2N001,okay,okay.,0.7240460515022278,correct,0,1.0,correct
D2N001,how,How,0.8128293752670288,correct,0,1.0,correct
D2N001,are,are,0.9891495108604432,correct,0,1.0,correct
D2N001,you,you,0.995961606502533,correct,0,1.0,correct
D2N001,i'm,,,deletion,1,1.0,omission
D2N001,doing,doing,0.3589743077754974,correct,0,1.0,correct
D2N001,okay,okay?,0.8030763864517212,correct,0,1.0,correct
D2N001,so,So,0.9384596943855286,correct,0,1.0,correct
D2N001,i,by,0.192853033542633,substitution,1,1.0,unrelated_substitution
D2N001,know,no,0.3154819905757904,substitution,1,1.0,phonetic_substitution
D2N001,the,the,0.4132465720176697,correct,0,1.0,correct
D2N001,nurse,nurse,0.9524468779563904,correct,0,1.0,correct
D2N001,told,told,0.9791166186332704,correct,0,1.0,correct
D2N001,you,you,0.9974616765975952,correct,0,1.0,correct
D2N001,about,about,0.985289752483368,correct,0,1.0,correct
D2N001,dax,Dax.,0.6122543960809708,correct,0,1.0,correct
D2N001,i'd,I'd,0.970104455947876,correct,0,1.0,correct
D2N001,like,like,0.9978671073913574,correct,0,1.0,correct
D2N001,to,to,0.9971430897712708,correct,0,1.0,correct
D2N001,tell,tell,0.9988441467285156,correct,0,1.0,correct
D2N001,dax,Dax,0.9831334054470062,correct,0,1.0,correct
D2N001,a,a,0.9917455315589904,correct,0,1.0,correct
D2N001,little,little,0.9960454106330872,correct,0,1.0,correct
D2N001,bit,bit,0.9586707949638368,correct,0,1.0,correct
D2N001,about,about,0.9888428449630736,correct,0,1.0,correct
D2N001,you,you,0.9844897985458374,correct,0,1.0,correct
D2N001,okay,okay.,0.6378185153007507,correct,0,1.0,correct
D2N001,okay,Okay?,0.7760222554206848,correct,0,1.0,correct
D2N001,martha,Martha,0.8939997553825378,correct,0,1.0,correct
D2N001,is,is,0.9880505204200744,correct,0,1.0,correct
D2N001,a,a,0.9655994176864624,correct,0,1.0,correct
D2N001,,fever,0.2324962019920349,insertion,1,,insertion
D2N001,50-year-old,-old,0.6526010930538177,substitution,1,1.0,unrelated_substitution
D2N001,female,female,0.9168190360069276,correct,0,1.0,correct
D2N001,with,with,0.9700720906257628,correct,0,1.0,correct
D2N001,a,a,0.9837703704833984,correct,0,1.0,correct
D2N001,past,past,0.9464845061302184,correct,0,1.0,correct
D2N001,medical,medical,0.7733737826347351,correct,0,1.0,correct
D2N001,history,history,0.8416152596473694,correct,0,1.0,correct
D2N001,significant,significant,0.3775092661380768,correct,0,1.0,correct
D2N001,for,for,0.9810339212417604,correct,0,1.0,correct
D2N001,congestive,contestive,0.6201509386301041,substitution,1,1.0,phonetic_substitution
D2N001,heart,"heart,",0.9910753965377808,correct,0,1.0,correct
D2N001,failure,"failure,",0.9912564754486084,correct,0,1.0,correct
D2N001,depression,"depression,",0.9851068258285522,correct,0,1.0,correct
D2N001,and,and,0.9948521256446838,correct,0,1.0,correct
D2N001,hypertension,hypertension,0.3313624262809753,correct,0,1.0,correct
D2N001,who,who,0.8809121251106262,correct,0,1.0,correct
D2N001,presents,prisons,0.3443280458450317,substitution,1,1.0,phonetic_substitution
D2N001,for,for,0.6089577078819275,correct,0,1.0,correct
D2N001,her,her,0.997236967086792,correct,0,1.0,correct
D2N001,annual,annual,0.95471453666687,correct,0,1.0,correct
D2N001,exam,exam.,0.9649064540863036,correct,0,1.0,correct
D2N001,,Some,0.0545760989189147,insertion,1,,insertion
D2N001,so,of,0.5130568742752075,substitution,1,1.0,unrelated_substitution
D2N001,martha,the,0.7607914805412292,substitution,1,1.0,unrelated_substitution
D2N001,it's,etch,0.2633709907531738,substitution,1,1.0,unrelated_substitution
D2N001,been,been,0.2910247147083282,correct,0,1.0,correct
D2N001,a,a,0.9727161526679992,correct,0,1.0,correct
D2N001,year,year,0.985016703605652,correct,0,1.0,correct
D2N001,since,since,0.9699613451957704,correct,0,1.0,correct
D2N001,i've,I've,0.9080496728420258,correct,0,1.0,correct
D2N001,seen,seen,0.9896134734153748,correct,0,1.0,correct
D2N001,you,you.,0.9929145574569702,correct,0,1.0,correct
D2N001,how,How,0.8663204908370972,correct,0,1.0,correct
D2N001,are,are,0.9838393926620485,correct,0,1.0,correct
D2N001,you,you,0.9964193105697632,correct,0,1.0,correct
D2N001,doing,doing?,0.9907265901565552,correct,0,1.0,correct
D2N001,,Em?,0.2437168657779693,insertion,1,,insertion
D2N001,i'm,You,0.2846014499664306,substitution,1,1.0,unrelated_substitution
D2N001,doing,doing,0.3108521699905395,correct,0,1.0,correct
D2N001,well,well.,0.9893565773963928,correct,0,1.0,correct
D2N001,i've,I've,0.928638756275177,correct,0,1.0,correct
D2N001,been,been,0.9975547194480896,correct,0,1.0,correct
D2N001,traveling,traveling,0.7378171682357788,correct,0,1.0,correct
D2N001,a,a,0.7950904965400696,correct,0,1.0,correct
D2N001,lot,lot,0.8919311761856079,correct,0,1.0,correct
D2N001,recently,recently,0.7696486115455627,correct,0,1.0,correct
D2N001,since,since,0.9647637009620668,correct,0,1.0,correct
D2N001,things,things,0.9802173376083374,correct,0,1.0,correct
D2N001,have,have,0.9875032305717468,correct,0,1.0,correct
D2N001,have,,,deletion,1,1.0,omission
D2N001,gotten,gotten,0.8448476195335388,correct,0,1.0,correct
D2N001,a,a,0.993766188621521,correct,0,1.0,correct
D2N001,bit,bit,0.9662124514579772,correct,0,1.0,correct
D2N001,lighter,lighter.,0.9863714575767516,correct,0,1.0,correct
D2N001,and,And,0.96346515417099,correct,0,1.0,correct
D2N001,i,I,0.9909900426864624,correct,0,1.0,correct
D2N001,got,got,0.9533018469810486,correct,0,1.0,correct
D2N001,my,my,0.9910805821418762,correct,0,1.0,correct
D2N001,my,my,0.6265215277671814,correct,0,1.0,correct
D2N001,,vague,0.2824851870536804,insertion,1,,insertion
D2N001,vaccine,saying,0.8882433176040649,substitution,1,1.0,unrelated_substitution
D2N001,so,so,0.5294056534767151,correct,0,1.0,correct
D2N001,i,I,0.9725072979927064,correct,0,1.0,correct
D2N001,feel,feel,0.9882963299751282,correct,0,1.0,correct
D2N001,safer,safer,0.993357241153717,correct,0,1.0,correct
D2N001,about,about,0.9849675297737122,correct,0,1.0,correct
D2N001,traveling,traveling.,0.8107300996780396,correct,0,1.0,correct
D2N001,i've,I've,0.9864033758640288,correct,0,1.0,correct
D2N001,been,been,0.9984968900680542,correct,0,1.0,correct
D2N001,doing,doing,0.9955129027366638,correct,0,1.0,correct
D2N001,a,a,0.996209979057312,correct,0,1.0,correct
D2N001,lot,lot,0.9985468983650208,correct,0,1.0,correct
D2N001,of,of,0.9890523552894592,correct,0,1.0,correct
D2N001,hiking,baking.,0.3798284232616424,substitution,1,1.0,phonetic_substitution
D2N001,uh,The,0.4888017773628235,substitution,1,1.0,unrelated_substitution
D2N001,went,went,0.6713568568229675,correct,0,1.0,correct
D2N001,to,to,0.9800348281860352,correct,0,1.0,correct
D2N001,washington,Washington,0.9923424124717712,correct,0,1.0,correct
D2N001,last,last,0.9680739045143129,correct,0,1.0,correct
D2N001,weekend,weekend,0.8589078783988953,correct,0,1.0,correct
D2N001,to,to,0.96919447183609,correct,0,1.0,correct
D2N001,hike,hike,0.962583601474762,correct,0,1.0,correct
D2N001,in,in,0.9775130152702332,correct,0,1.0,correct
D2N001,northern,northern,0.7914704084396362,correct,0,1.0,correct
D2N001,"cascades,",cascades,0.8410476843516032,correct,0,1.0,correct
D2N001,like,like,0.8880350589752197,correct,0,1.0,correct
D2N001,around,around,0.9795103669166564,correct,0,1.0,correct
D2N001,the,the,0.9931542873382568,correct,0,1.0,correct
D2N001,mount,Mount,0.5721794366836548,correct,0,1.0,correct
D2N001,baker,Baker,0.8881438970565796,correct,0,1.0,correct
D2N001,area,area.,0.9386682510375975,correct,0,1.0,correct
D2N001,nice,"Yes,",0.1073561310768127,substitution,1,1.0,unrelated_substitution
D2N001,that's,that's,0.9961035549640656,correct,0,1.0,correct
D2N001,great,great.,0.9966557025909424,correct,0,1.0,correct
D2N001,i'm,I'm,0.5228348523378372,correct,0,1.0,correct
D2N001,glad,plenty,0.6379055380821228,substitution,1,1.0,unrelated_substitution
D2N001,to,here,0.9441635608673096,substitution,1,1.0,unrelated_substitution
D2N001,hear,,,deletion,1,1.0,omission
D2N001,that,that,0.980622410774231,correct,0,1.0,correct
D2N001,you're,you're,0.6473687440156937,correct,0,1.0,correct
D2N001,staying,staying,0.7973694205284119,correct,0,1.0,correct
D2N001,active,active,0.1188011839985847,correct,0,1.0,correct
D2N001,you,you,0.4060568809509277,correct,0,1.0,correct
D2N001,know,know.,0.9873232245445251,correct,0,1.0,correct
D2N001,i,I,0.9864277243614196,correct,0,1.0,correct
D2N001,i,,,deletion,1,1.0,omission
D2N001,just,just,0.9111921191215516,correct,0,1.0,correct
D2N001,love,love,0.988654375076294,correct,0,1.0,correct
D2N001,this,this,0.9953007698059082,correct,0,1.0,correct
D2N001,weather,weather.,0.9920855164527892,correct,0,1.0,correct
D2N001,i'm,I'm,0.9552440345287324,correct,0,1.0,correct
D2N001,so,so,0.9915695786476136,correct,0,1.0,correct
D2N001,happy,happy,0.9961649179458618,correct,0,1.0,correct
D2N001,the,the,0.9508570432662964,correct,0,1.0,correct
D2N001,summer,summer,0.9739208221435548,correct,0,1.0,correct
D2N001,is,is,0.9720012545585632,correct,0,1.0,correct
D2N001,over,over.,0.9994354844093324,correct,0,1.0,correct
